scheme,capacity,revoked,distribution,workload_seed,measurement,cover_nodes,holder_upload_bytes,holder_download_bytes,holder_compute_ms,server_per_holder_ms,verified
HiddenCover,16384,10,clustered,0,0,16,0,624,0.0344,0.0,true
HiddenCover,16384,10,clustered,0,1,16,0,624,0.0349,0.0,true
HiddenCover,16384,10,clustered,0,2,16,0,624,0.0331,0.0,true
HiddenCover,16384,10,clustered,0,3,16,0,624,0.0293,0.0,true
HiddenCover,16384,10,clustered,0,4,16,0,624,0.0293,0.0,true
HiddenCover,16384,10,clustered,0,5,16,0,624,0.0293,0.0,true
HiddenCover,16384,10,clustered,0,6,16,0,624,0.0299,0.0,true
HiddenCover,16384,10,clustered,0,7,16,0,624,0.0291,0.0,true
HiddenCover,16384,10,clustered,0,8,16,0,624,0.0293,0.0,true
HiddenCover,16384,10,clustered,0,9,16,0,624,0.0293,0.0,true
HiddenCover,16384,10,clustered,0,10,16,0,624,0.0292,0.0,true
HiddenCover,16384,10,clustered,0,11,16,0,624,0.0296,0.0,true
HiddenCover,16384,10,clustered,0,12,16,0,624,0.0292,0.0,true
HiddenCover,16384,10,clustered,0,13,16,0,624,0.0293,0.0,true
HiddenCover,16384,10,clustered,0,14,16,0,624,0.0293,0.0,true
HiddenCover,16384,10,clustered,0,15,16,0,624,0.0294,0.0,true
HiddenCover,16384,10,clustered,0,16,16,0,624,0.0297,0.0,true
HiddenCover,16384,10,clustered,0,17,16,0,624,0.0292,0.0,true
HiddenCover,16384,10,clustered,0,18,16,0,624,0.0293,0.0,true
HiddenCover,16384,10,clustered,0,19,16,0,624,0.0293,0.0,true
HiddenCover,16384,10,clustered,0,20,16,0,624,0.0293,0.0,true
HiddenCover,16384,10,clustered,0,21,16,0,624,0.0295,0.0,true
HiddenCover,16384,10,clustered,0,22,16,0,624,0.0292,0.0,true
HiddenCover,16384,10,clustered,0,23,16,0,624,0.0292,0.0,true
HiddenCover,16384,10,clustered,0,24,16,0,624,0.0292,0.0,true
HiddenCover,16384,10,clustered,0,25,16,0,624,0.0293,0.0,true
